INFO 2025-03-08 01:11:48,997 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-08 01:11:48,999 autoreload Waiting for apps ready_event.
DEBUG 2025-03-08 01:11:49,023 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-08 01:11:49,066 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/socialaccount/providers/facebook/templates with glob **/*.
DEBUG 2025-03-08 01:11:49,068 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/templates with glob **/*.
DEBUG 2025-03-08 01:11:49,069 autoreload Watching dir /usr/local/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
DEBUG 2025-03-08 01:11:49,070 autoreload Watching dir /app/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,071 autoreload Watching dir /app/linguaburma/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,073 autoreload Watching dir /usr/local/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,073 autoreload Watching dir /usr/local/lib/python3.11/site-packages/rest_framework_simplejwt/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,074 autoreload Watching dir /usr/local/lib/python3.11/site-packages/rest_framework/authtoken/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,075 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,075 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/account/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,076 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/socialaccount/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,079 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/socialaccount/providers/google/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,082 autoreload Watching dir /usr/local/lib/python3.11/site-packages/allauth/socialaccount/providers/facebook/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,084 autoreload Watching dir /usr/local/lib/python3.11/site-packages/dj_rest_auth/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,084 autoreload Watching dir /usr/local/lib/python3.11/site-packages/dj_rest_auth/registration/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,085 autoreload Watching dir /usr/local/lib/python3.11/site-packages/social_django/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,086 autoreload Watching dir /usr/local/lib/python3.11/site-packages/corsheaders/locale with glob **/*.mo.
DEBUG 2025-03-08 01:11:49,153 utils (0.004) 
            SELECT
                c.relname,
                CASE
                    WHEN c.relispartition THEN 'p'
                    WHEN c.relkind IN ('m', 'v') THEN 'v'
                    ELSE 't'
                END,
                obj_description(c.oid, 'pg_class')
            FROM pg_catalog.pg_class c
            LEFT JOIN pg_catalog.pg_namespace n ON n.oid = c.relnamespace
            WHERE c.relkind IN ('f', 'm', 'p', 'r', 'v')
                AND n.nspname NOT IN ('pg_catalog', 'pg_toast')
                AND pg_catalog.pg_table_is_visible(c.oid)
        ; args=None; alias=default
DEBUG 2025-03-08 01:11:49,156 utils (0.001) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-03-08 01:11:49,184 autoreload File /usr/local/lib/python3.11/asyncio/runners.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,185 autoreload File /usr/local/lib/python3.11/_markupbase.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,185 autoreload File /usr/local/lib/python3.11/bz2.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,185 autoreload File /usr/local/lib/python3.11/site-packages/django/template/response.py first seen with mtime 1740891667.8658338
DEBUG 2025-03-08 01:11:49,185 autoreload File /usr/local/lib/python3.11/site-packages/django/views/decorators/__init__.py first seen with mtime 1740891667.8808336
DEBUG 2025-03-08 01:11:49,186 autoreload File /usr/local/lib/python3.11/site-packages/django/utils/dates.py first seen with mtime 1740891667.8738337
DEBUG 2025-03-08 01:11:49,186 autoreload File /usr/local/lib/python3.11/asyncio/base_events.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,187 autoreload File /usr/local/lib/python3.11/site-packages/django/utils/formats.py first seen with mtime 1740891667.8758337
DEBUG 2025-03-08 01:11:49,187 autoreload File /usr/local/lib/python3.11/site-packages/social_django/admin.py first seen with mtime 1740891670.6068335
DEBUG 2025-03-08 01:11:49,187 autoreload File /usr/local/lib/python3.11/lib-dynload/unicodedata.cpython-311-x86_64-linux-gnu.so first seen with mtime 1740451265.0
DEBUG 2025-03-08 01:11:49,187 autoreload File /usr/local/lib/python3.11/site-packages/allauth/socialaccount/templatetags/__init__.py first seen with mtime 1740891669.5478337
DEBUG 2025-03-08 01:11:49,188 autoreload File /usr/local/lib/python3.11/unittest/__init__.py first seen with mtime 1740451293.0
DEBUG 2025-03-08 01:11:49,188 autoreload File /usr/local/lib/python3.11/site-packages/cryptography/hazmat/primitives/asymmetric/rsa.py first seen with mtime 1740891670.1498334
DEBUG 2025-03-08 01:11:49,188 autoreload File /usr/local/lib/python3.11/concurrent/futures/_base.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,188 autoreload File /usr/local/lib/python3.11/site-packages/django/utils/hashable.py first seen with mtime 1740891667.8758337
DEBUG 2025-03-08 01:11:49,189 autoreload File /usr/local/lib/python3.11/site-packages/rest_framework/utils/humanize_datetime.py first seen with mtime 1740891669.2288337
DEBUG 2025-03-08 01:11:49,189 autoreload File /usr/local/lib/python3.11/site-packages/cryptography/hazmat/bindings/openssl/_conditional.py first seen with mtime 1740891670.1468334
DEBUG 2025-03-08 01:11:49,189 autoreload File /usr/local/lib/python3.11/site-packages/certifi/__init__.py first seen with mtime 1740891666.7378337
DEBUG 2025-03-08 01:11:49,190 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/staticfiles/management/commands/__init__.py first seen with mtime 1740891667.7938337
DEBUG 2025-03-08 01:11:49,190 autoreload File /usr/local/lib/python3.11/site-packages/django/db/models/deletion.py first seen with mtime 1740891667.8348336
DEBUG 2025-03-08 01:11:49,190 autoreload File /usr/local/lib/python3.11/encodings/utf_8.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,190 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/messages/middleware.py first seen with mtime 1740891667.6298337
DEBUG 2025-03-08 01:11:49,190 autoreload File /usr/local/lib/python3.11/site-packages/allauth/socialaccount/providers/google/provider.py first seen with mtime 1740891669.4908335
DEBUG 2025-03-08 01:11:49,191 autoreload File /usr/local/lib/python3.11/site-packages/charset_normalizer/constant.py first seen with mtime 1740891666.7048337
DEBUG 2025-03-08 01:11:49,191 autoreload File /usr/local/lib/python3.11/hmac.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,191 autoreload File /usr/local/lib/python3.11/site-packages/django/db/models/fields/mixins.py first seen with mtime 1740891667.8388336
DEBUG 2025-03-08 01:11:49,192 autoreload File /usr/local/lib/python3.11/site-packages/sqlparse/filters/others.py first seen with mtime 1740891666.1898336
DEBUG 2025-03-08 01:11:49,192 autoreload File /usr/local/lib/python3.11/enum.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,192 autoreload File /usr/local/lib/python3.11/http/cookiejar.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,192 autoreload File /usr/local/lib/python3.11/csv.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,193 autoreload File /usr/local/lib/python3.11/site-packages/django/core/files/storage/handler.py first seen with mtime 1740891667.8038337
DEBUG 2025-03-08 01:11:49,193 autoreload File /usr/local/lib/python3.11/pickle.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,193 autoreload File /usr/local/lib/python3.11/site-packages/allauth/socialaccount/providers/facebook/constants.py first seen with mtime 1740891669.4788337
DEBUG 2025-03-08 01:11:49,194 autoreload File /usr/local/lib/python3.11/site-packages/django/views/csrf.py first seen with mtime 1740891667.8798337
DEBUG 2025-03-08 01:11:49,194 autoreload File /usr/local/lib/python3.11/site-packages/dj_rest_auth/app_settings.py first seen with mtime 1740891670.5498335
DEBUG 2025-03-08 01:11:49,194 autoreload File /usr/local/lib/python3.11/site-packages/django/db/backends/postgresql/psycopg_any.py first seen with mtime 1740891667.8258336
DEBUG 2025-03-08 01:11:49,194 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/contenttypes/__init__.py first seen with mtime 1740891667.4438336
DEBUG 2025-03-08 01:11:49,195 autoreload File /usr/local/lib/python3.11/site-packages/cryptography/x509/name.py first seen with mtime 1740891670.1538336
DEBUG 2025-03-08 01:11:49,195 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1740891667.6368337
DEBUG 2025-03-08 01:11:49,195 autoreload File /usr/local/lib/python3.11/email/_encoded_words.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,195 autoreload File /usr/local/lib/python3.11/site-packages/cryptography/hazmat/bindings/openssl/__init__.py first seen with mtime 1740891670.1468334
DEBUG 2025-03-08 01:11:49,195 autoreload File /usr/local/lib/python3.11/email/mime/message.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,196 autoreload File /usr/local/lib/python3.11/asyncio/constants.py first seen with mtime 1740451292.0
DEBUG 2025-03-08 01:11:49,196 autoreload File /usr/local/lib/python3.11/site-packages/sqlparse/filters/tokens.py first seen with mtime 1740891666.1898336
DEBUG 2025-03-08 01:11:49,196 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/postgres/forms/__init__.py first seen with mtime 1740891667.6358337
DEBUG 2025-03-08 01:11:49,196 autoreload File /usr/local/lib/python3.11/site-packages/django/forms/__init__.py first seen with mtime 1740891667.8448336
DEBUG 2025-03-08 01:11:49,197 autoreload File /usr/local/lib/python3.11/site-packages/google/auth/__init__.py first seen with mtime 1740891669.0688336
DEBUG 2025-03-08 01:11:49,197 autoreload File /usr/local/lib/python3.11/site-packages/sqlparse/filters/reindent.py first seen with mtime 1740891666.1898336
DEBUG 2025-03-08 01:11:49,197 autoreload File /usr/local/lib/python3.11/site-packages/django/contrib/postgres/forms/ranges.py first seen with mtime 1740891667.6368337
DEBUG 2025-03-08 01:11:49,197 autoreload File /usr/local/lib/python3.11/site-packages/django/core/paginator.py first seen with mtime 1740891667.7958336
DEBUG 2025-03-08 01:11:49,198 autoreload File /usr/local/lib/python3.11/site-packages/django/core/checks/async_checks.py first seen with mtime 1740891667.7988336
